Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2020-01-02,600570,32.69,32.96,33.19,32.33,175683,1391068896.0,2.67,2.23,0.72,2.19
2020-01-03,600570,32.84,32.79,33.32,32.37,163653,1297846416.0,2.88,-0.52,-0.17,2.04
2020-01-06,600570,32.48,33.2,33.66,32.36,210236,1680557040.0,3.96,1.25,0.41,2.62
2020-01-07,600570,33.22,33.87,34.26,32.91,227288,1842082752.0,4.07,2.02,0.67,2.83
2020-01-08,600570,33.53,33.58,34.46,33.42,230314,1883892448.0,3.07,-0.86,-0.29,2.87
2020-01-09,600570,34.04,34.07,34.88,33.91,179525,1483708768.0,2.89,1.46,0.49,2.24
2020-01-10,600570,34.43,33.78,34.6,33.62,130013,1063580048.0,2.88,-0.85,-0.29,1.62
2020-01-13,600570,33.6,34.24,34.36,33.36,158667,1293772768.0,2.96,1.36,0.46,1.98
2020-01-14,600570,34.57,33.87,34.66,33.83,125122,1030659616.0,2.42,-1.08,-0.37,1.56
2020-01-15,600570,33.77,34.63,34.66,33.67,179759,1487650912.0,2.92,2.24,0.76,2.24
2020-01-16,600570,34.76,34.74,35.04,34.25,170847,1426120112.0,2.28,0.32,0.11,2.13
2020-01-17,600570,35.04,36.32,36.7,34.81,296268,2563584848.0,5.44,4.55,1.58,3.69
2020-01-20,600570,37.43,36.33,37.61,35.39,289745,2530100000.0,6.11,0.03,0.01,3.61
2020-01-21,600570,36.23,36.48,37.19,36.07,203083,1791153248.0,3.08,0.41,0.15,2.53
2020-01-22,600570,36.39,38.37,38.83,36.16,266181,2400166864.0,7.32,5.18,1.89,3.31
2020-01-23,600570,37.9,36.87,38.85,36.11,288501,2597837824.0,7.14,-3.91,-1.5,3.59
2020-02-03,600570,33.12,33.12,33.41,33.12,200184,1599369424.0,0.79,-10.17,-3.75,2.49
2020-02-04,600570,33.12,34.47,34.74,33.12,311948,2563659280.0,4.89,4.08,1.35,3.88
2020-02-05,600570,34.49,34.42,35.6,34.04,281927,2360178288.0,4.53,-0.15,-0.05,3.51
2020-02-06,600570,34.63,36.6,37.05,34.3,327193,2821220272.0,7.99,6.33,2.18,4.07
2020-02-07,600570,36.37,37.96,38.23,36.21,276806,2490344976.0,5.52,3.72,1.36,3.45
2020-02-10,600570,37.97,39.2,41.18,37.77,304454,2886061216.0,8.98,3.27,1.24,3.79
2020-02-11,600570,39.19,38.94,39.85,38.41,194752,1832289184.0,3.67,-0.66,-0.26,2.42
2020-02-12,600570,38.97,40.74,41.17,38.86,263363,2549977840.0,5.93,4.62,1.8,3.28
2020-02-13,600570,40.85,39.98,41.62,39.87,214805,2085978416.0,4.3,-1.87,-0.76,2.67
